State,Universites With IMB,Universities with No IMB,Universities by State,Military Installations With IMB,Military Installations with No IMB,Total Military Installations,
AK,2,0,2,3,17,20,
AL,14,2,16,13,18,31,
AR,11,7,18,1,4,5,
AZ,11,0,11,13,7,20,
CA,66,1,67,60,15,75,
CO,14,1,15,7,4,11,
CT,14,0,14,5,,5,
DC,6,0,6,3,,3,
DE,2,0,2,4,,4,
FL,38,2,40,31,8,39,
GA,31,3,34,16,4,20,
HI,4,2,6,19,13,32,
IA,9,10,19,3,1,4,
ID,4,3,7,1,6,7,
IL,28,5,33,13,2,15,
IN,15,9,24,6,5,11,
KS,7,9,16,2,5,7,
KY,11,8,19,4,1,5,
LA,9,2,11,13,1,14,
MA,35,3,38,12,,12,
MD,9,2,11,21,6,27,
ME,3,9,12,,9,9,
MI,20,8,28,6,3,9,
MN,8,12,20,4,6,10,
MO,18,6,24,4,9,13,
MS,5,6,11,2,11,13,
MT,3,3,6,4,1,5,
NC,29,15,44,6,11,17,
ND,0,6,6,,6,6,
NE,2,4,6,4,3,7,
NH,4,4,8,1,3,4,
NJ,15,0,15,7,1,8,
NM,3,0,3,5,5,10,
NV,4,0,4,4,8,12,
NY,52,14,66,12,5,17,
OH,26,15,41,8,7,15,
OK,7,3,10,8,7,15,
OR,11,2,13,4,6,10,
PA,47,11,58,16,1,17,
RI,2,0,2,2,3,5,
SC,11,6,17,5,5,10,
SD,0,5,5,1,6,7,
TN,14,11,25,9,6,15,
TX,43,14,57,19,14,33,
UT,2,2,4,3,6,9,
VA,31,5,36,36,6,42,
VT,3,2,5,4,1,5,
WA,10,2,12,9,8,17,
WI,11,4,15,4,3,7,
WV,2,8,10,1,8,9,
WY,0,1,1,,3,3,
